highAlpha;lowAlpha;highBeta;lowBeta;midGamma;lowGamma;delta;theta
0;0;0;0;0;0;49;3
33213;128628;40813;37334;10428;37667;544458;381341
40696;8019;20221;16637;7769;54321;7320;12503
40918;5326;13044;8704;6205;14002;11298;7998
27149;4798;15647;5551;11754;9990;5244;12536
5501;1401;26311;25757;16756;25509;48625;5871
42039;4819;5022;16012;9470;6802;58477;21585
26931;223;8158;5714;5005;8428;79299;39834
36100;12853;10844;16815;5568;13018;4285;9810
5666;21964;11020;6293;8242;19184;14762;7048
22734;7497;8516;7237;2201;11925;5003;14923
45506;3145;13166;10850;4729;3864;3848;7945
16954;13819;7842;8130;6825;9822;5222;8160
22839;23976;11607;10176;5879;4092;13872;9290
32402;14091;11635;31209;5565;2721;15831;12142
78901;4160;8164;3160;4263;5744;5026;10355
10409;16744;6069;2634;3445;5196;9303;10155
4860;6674;9194;5261;4365;4243;15553;14117
64967;4490;8826;7417;7238;3728;10909;4967
39271;18547;6178;7125;4179;7181;4844;12768
19576;15322;8335;5429;5482;5089;13714;11261
6243;3566;7887;4222;3457;5108;23481;11996
32915;92207;9193;14535;3253;13141;1478;8852
12175;7916;5637;5432;4392;7394;7114;13689
9412;22832;6386;14914;3292;3167;24067;23879
18876;2992;8634;8321;8040;9584;2729;1815
25074;30533;4900;3644;2697;4306;7870;15060
7179;13332;4230;3683;8105;3316;25821;30013
16624;29507;5710;7688;5396;3580;104583;123303
18614;19660;9125;7108;10182;7266;43829;16083
9641;2784;2794;9945;6022;2841;5640;12350
15498;45043;6748;3201;8867;7134;4760;35297
13155;17131;5179;7863;4136;4426;38144;75078
3848;10224;5111;1566;4566;7378;13985;5460
11148;23011;4263;3352;2097;2119;7394;29184
10659;23895;5080;4820;4566;8628;21129;21103
32320;21587;8861;14089;6533;3892;53775;44877
34384;15412;4353;2305;5611;6386;8593;14270
6473;4902;10141;9007;12778;9140;3736;68568
5946;18972;9991;4001;3390;4774;5133;37334
16576;49228;8319;5932;5091;3894;25183;33713
51640;25102;9348;10126;6396;6223;26187;13914
5401;3831;9855;14655;3288;2599;35468;9501
11178;15553;2316;2899;5014;2497;12399;13790
24523;33768;16488;1967;5695;6197;48522;10271
9997;16376;4592;6973;3769;3542;12044;31570
15958;4613;3881;6505;3085;1939;7124;15504
17181;17005;3921;6788;3371;2462;28433;19897
17890;3528;6064;2577;3588;4191;26601;15430
17504;23388;4584;22533;2762;3623;16220;16710
29093;25290;8161;8306;4681;4871;106029;125368
26585;5219;5679;3683;2877;2998;7156;19238
8842;4960;6881;6370;6970;2488;25751;38131
49064;23170;3607;6885;4455;4745;8800;37663
17116;14263;2725;3599;4382;4354;16803;14893
10561;4563;7713;5473;2760;4395;46929;47186
15935;2571;9234;3591;3273;2776;45342;40370
21305;14852;10207;7826;1551;3584;10447;20350
2691;29531;2795;6267;1028;1633;8627;29050
26648;9141;4599;4282;3190;2066;11074;51442
173534;221330;244989;381802;45319;152095;209535;401407
182596;138205;123972;240216;242285;216267;1661122;227391
72954;20296;36209;28186;25274;58651;1196491;483031
72716;52905;18422;14633;16349;13875;438134;150201
6558;6693;9105;6711;16694;12782;14794;22303
27066;12403;8948;8388;6101;4015;15867;19680
5899;9094;15307;17158;8459;9644;10676;27018
40619;3241;7588;20246;3787;5192;42014;34857
26568;12541;5055;10862;4567;7539;5163;19752
10763;46902;10131;4520;3451;4372;26359;36593
36899;5848;15501;3815;5980;4909;17918;38072
16750;2904;6169;39964;7114;2462;38783;10217
15679;5966;5400;4411;2428;1962;21543;9667
14497;27541;8288;25787;5214;11098;48152;31108
2427;12321;5499;17801;2191;2049;26696;38652
25819;9996;5430;15499;4676;3421;15991;52578
21308;11570;6180;2548;7316;4800;14120;21320
7580;20458;5658;3473;3079;1813;19635;9762
44180;25670;5458;14838;4063;5484;5132;32482
10621;4205;1570;1880;1409;1226;45379;8388
11778;14094;2947;5959;5270;3258;21559;8109
13583;14178;8992;20980;2706;4840;14491;21156
97275;15842;9996;6193;3125;2477;9211;10937
7099;14467;3367;5703;3842;4681;74065;44405
30129;4677;2519;24980;7799;1887;4169;14993
21963;4841;3631;5807;11745;2163;18598;10568
27293;3912;11074;6222;2957;4763;21599;44070
41551;82323;4524;14104;4049;1720;9531;79057
54816;27838;9509;7144;4182;1935;46548;52875
9180;18157;8649;5709;4854;7970;45249;20056
89453;12812;4567;1851;9193;2528;9972;9797
45110;65897;4619;20804;4423;5503;27818;41923
31745;17157;6082;2324;5797;2983;13016;27909
4979;13515;3518;6642;1997;4538;32599;55444
28681;12086;3089;7112;2714;1686;5472;23425
34592;10441;6427;10654;5929;2127;25615;49341
16669;49159;10569;4181;1546;2715;73464;33963
28279;2743;6018;5960;8045;1634;18456;17139
10249;26803;2135;3968;563;1010;152837;8776
6563;8830;8484;7370;3469;3967;39053;37635
